,x,y,node_id
61,4470373.096426593,5337103.150271355,1015896251
62,4469797.503693831,5337609.85832127,1015930067
63,4469652.5568554085,5337583.295458166,1015945911
64,4469266.895544286,5337876.853059807,1015956637
65,4473161.614396654,5332500.745325015,1016209861
66,4496084.044252611,5381607.496869828,1018186380
67,4478007.3042391455,5329270.533343951,1020775189
68,4470820.566275807,5333575.757850188,1020933085
69,4470826.053030029,5333586.260103699,1020942868
70,4469290.1863738,5334021.206236379,1020993686
71,4468428.904266322,5334168.200893168,1021042337
72,4468450.708065124,5334282.513083079,1021042360
73,4468497.928906756,5334272.289175014,1021042371
74,4465823.73859741,5336425.706846788,1021176531
75,4465743.759004775,5336432.63579813,1021176535
76,4466762.64042574,5336021.918758617,1021203442
77,4470884.199701446,5331994.280536076,1022208903
78,4471159.11453476,5331933.5857158685,1022208952
79,4470905.976910878,5331512.146571049,1022280944
80,4470906.8933343645,5331500.577538555,1022280968
81,4470868.069908246,5331496.939024431,1022280980
82,4471283.074950103,5331429.644800063,1022281018
83,4471277.515659813,5331418.275169013,1022281027
84,4470943.97201165,5331503.724803239,1022281030
85,4471136.229847743,5331516.627916537,1022281053
86,4471291.128197623,5331405.408149555,1022281099
87,4470726.105581488,5331757.562527521,1022281134
88,4503160.937955708,5320174.934270152,1022374721
89,4466829.041131241,5333940.3739685,1022404024
90,4488889.746693823,5320725.486877396,1022671520
91,4471685.527522018,5329816.991933202,1022674466
92,4473059.220324275,5329719.397828131,1022674564
93,4471317.194868502,5329265.65243074,1022674567
94,4473044.329054509,5329740.750745044,1022674784
95,4473046.034770569,5329502.295967623,1022684259
96,4465841.990667199,5341082.738471779,1022734842
97,4466054.574278107,5341297.7499692105,1022735068
98,4490179.223583995,5318217.515242288,1022777387
99,4463137.058490138,5333863.337195262,1024921479
100,4472656.010113279,5338185.856365183,10258463
101,4472666.89697312,5338224.578432734,10258465
102,4446089.121185986,5365279.233037575,102596402
103,4445985.233494937,5365272.161390095,102596407
104,4477341.27054413,5332826.455237685,10259727
105,4477341.12046934,5332430.435368757,10259728
106,4476956.012238444,5332428.372594015,10259729
107,4448665.6465567015,5365589.309843713,102599468
108,4470134.539976554,5320739.695775967,1026005841
109,4470805.795575843,5324179.072796939,1026037948
110,4470963.373703609,5324128.712524987,1026037952
111,4448973.137194808,5364357.448966173,1026074508
112,4449637.894376269,5364205.779739978,102609480
113,4452053.362532314,5365588.752865029,102609504
114,4450901.248425189,5364671.571610837,102609520
115,4449517.108344982,5362787.263702825,102613877
116,4449545.456668454,5362768.317240914,102613878
117,4449821.724842167,5362172.88631622,102613888
118,4448079.362562543,5363135.387623796,102613933
119,4443382.1138695255,5365925.252237922,102615939
120,4499306.441659278,5371378.500158274,1026507613
121,4497997.597609001,5369468.521893688,1026540555
122,4498888.816710663,5364600.173435353,1026608797
123,4469803.5771638565,5334004.635821794,102684139
124,4469997.830447698,5334571.192430393,102690233
125,4485256.372415067,5318539.022993025,1027190304
126,4512535.714165704,5350692.684802063,1027225082
127,4512131.856718745,5350108.811932813,1027225185
128,4475024.408871806,5327292.97002111,102749796
129,4475290.653800283,5327310.617416612,102750397
130,4454689.4401161615,5337522.924831197,102755936
131,4454510.003465566,5337611.901176365,102755940
132,4454668.608205038,5337449.141629293,102755949
133,4454658.09952032,5337376.255032573,102755951
134,4454481.0593776945,5337529.365052313,102755971
135,4454404.94007973,5337158.750311281,102755974
136,4454415.18029026,5337261.840820152,102755977
137,4454429.52807266,5337340.033997871,102755980
138,4454458.18428057,5337457.133449601,102755983
139,4454399.110561011,5337563.112839901,102755986
140,4454506.574350109,5337602.532026003,102755988
141,4454410.751494617,5337647.010010849,102755993
142,4454599.750744204,5337395.334030808,102755997
143,4455171.896594749,5337828.552656307,102756014
