charger_id;charger_plug_count;charger_plug_power;charger_x;charger_y
5420135703;2;22;4460531.60167476;5341609.877939389
5437309048;2;22;4465468.128939499;5333405.872579008
5437494228;2;22;4457255.623841289;5337482.385985487
5437506965;2;22;4461540.962096108;5341439.71382635
5462938400;2;22;4470007.717088788;5327276.497695126
5516038929;2;22;4476732.416236376;5332573.5256818645
5516038930;2;22;4469223.622288538;5336250.976877057
5516038935;2;22;4462605.6531362515;5338356.818828109
5516038936;2;22;4471067.750641473;5328275.211503572
5519285725;2;22;4474186.536431086;5328470.987807526
5519285726;2;22;4468238.3132602265;5333297.037195942
5519285731;2;22;4472358.900021575;5330267.4911119295
5519285732;2;22;4462878.730238762;5329047.508576153
5519285737;2;22;4463407.461101716;5331995.559095921
5519285738;2;22;4461943.863262837;5327032.953675501
5539187643;2;22;4468227.162939788;5329338.814939747
5600000621;2;22;4469043.927938872;5329532.9828906525
5602488703;2;22;4471768.55757918;5330696.963695187
5602488704;2;22;4469999.887128054;5337100.317405302
5602488705;2;22;4460692.590699141;5334656.39149477
5604952041;2;22;4472650.352303733;5339652.913001582
5604952042;2;22;4463194.188121127;5337329.752476811
5633472336;2;22;4469263.928192043;5335327.475253285
5650490768;2;22;4469960.540686695;5332480.96361348
5650490769;2;22;4459505.62802183;5338390.355227444
5682184838;2;22;4465667.252912034;5333197.934863368
5682184839;2;22;4464443.658815694;5329902.836922466
5682184840;2;22;4468865.909289256;5336928.8298819605
5702939920;2;22;4464826.8889800375;5338316.192489008
5711527034;2;22;4468742.73699864;5339908.306021937
5732432422;2;22;4457741.663365915;5332488.683395836
5734443375;2;22;4469256.875372287;5330641.048128499
5734443376;2;22;4462544.285856942;5331995.478113151
5787436056;2;22;4468394.968398268;5331187.648853671
5837016109;2;22;4462781.828995469;5334067.826127995
5837017598;2;22;4467708.041987286;5340455.448874547
5837021436;2;22;4465342.771978431;5329932.615948589
5837026632;2;22;4460000.576373379;5333949.78257548
5837030938;2;22;4467217.944857953;5334817.141604423
5837066883;2;22;4473451.020193052;5335415.982821088
5837075592;2;22;4463396.151368116;5340367.747531826
5837082775;2;22;4476026.556831016;5327085.663373194
5837085752;2;22;4474674.027474792;5329770.947466368
5838803896;2;22;4459715.358296535;5335142.050323404
5838805033;2;22;4464946.693873414;5336664.185114641
5838814097;2;22;4470330.963226714;5332319.189093739
5838817667;2;22;4465429.522036387;5333660.47819152
5838825161;2;22;4471585.3115501795;5339091.384181921
5838828694;2;22;4461132.177904332;5335081.669452125
5838841839;2;22;4464101.018047659;5328449.055365025
5839062168;2;22;4463437.944961924;5327642.621537741
5874149229;2;22;4475856.035651462;5330907.528366263
5881968560;2;22;4471120.503813276;5333761.183874425
5903216875;2;22;4476414.283467078;5338256.244079983
5927464105;2;22;4461371.8008582955;5330334.041836551
5927464106;2;22;4463835.142456974;5332710.726648336
5944816274;2;22;4465838.933442434;5330360.2762333695
5944816275;2;22;4467130.573234686;5341773.437509849
5998868022;2;22;4462335.861997281;5338484.891624084
5998868023;2;22;4469656.684617218;5329814.157019155
6005498085;2;22;4473104.577779943;5335471.2381917145
6023382544;2;22;4470302.855620783;5330031.612161047
6023382545;2;22;4471298.199251207;5331773.573370073
6050011231;2;22;4466297.610353736;5333966.455024144
6074672867;2;22;4467726.6109228125;5340836.9608968645
6074672872;2;22;4468853.228205648;5329924.105988242
6096954798;2;22;4471530.205772471;5331505.766216674
6105143015;2;22;4464337.31815721;5330079.805892766
6105143016;2;22;4472795.298598367;5335609.721364058
6105144294;2;22;4470133.867000345;5327684.210091347
6105144295;2;22;4466707.619505968;5327633.821761202
6106232007;2;22;4466269.662337993;5327014.234632314
6106232008;2;22;4475477.639914092;5329341.451165786
6106831281;2;22;4459764.0357706705;5340453.752365967
6106831282;2;22;4465346.930749549;5338714.18240473
